run_id,job_id,date,workflow,job_name,attributed_check,branch
31911393708,95076880653,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-211-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31911393836,95076880991,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-204-795a2cbe2e04706eb5dd4e4512c880e0fb3ccfbf
31911394200,95076881811,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-208-4f17ddce8acc00f2662c1dd0a3d051068bbaea0c
31911457463,95077033874,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-212-813f478e9c895cbcea235e11223f483d0d82de55
31911483224,95077126150,2026-08-15,CI,cpu matrix (riscv64 across QEMU CPU models),cpu matrix: model(s) rv64,fix/69-child-endowment
31911524468,95077199287,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-204-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31911524984,95077200664,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-208-05987b79484b78d75bd87cd8386e18744a4b1fa0
31911524994,95077200580,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-212-c31318d8fee5a5b01706b8579d302eccdbb27732
31911689408,95077614695,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-214-30793a4f548356469810b6e8f7f62a19b1d8e30c
31911963908,95078326980,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-208-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
31911964403,95078328034,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-212-78bdb28d596f28921732f9da1009e0fc280b1290
31911964842,95078329504,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-214-315bf62ce3b4b939bdb59ad6be904c02d814d236
31912402159,95079361577,2026-08-15,CI,clippy,==> naming conventions,gh-readonly-queue/main/pr-212-b4a842b763dffc45ccdd30a81057756a0fa1b8c8
